store_id,store_name,address,city,state,zip_code,phone,store_format,country,status,cvs_pharmacy,starbucks,drive_up_pickup
T-1001,Target Los Angeles #1,100 S Figueroa St,Los Angeles,CA,90010,(855) 314-1409,SuperTarget,US,Open,Yes,Yes,Yes
T-1002,Target San Francisco #2,225 Mission St,San Francisco,CA,94117,(960) 481-5012,Standard,US,Open,Yes,Yes,Yes
T-1003,Target San Jose #3,350 Almaden Expy,San Jose,CA,95124,(429) 342-2679,Standard,US,Open,Yes,Yes,Yes
T-1004,Target San Diego #4,475 Camino Del Rio N,San Diego,CA,92131,(893) 958-9935,Standard,US,Open,Yes,Yes,Yes
T-1005,Target Sacramento #5,600 Florin Rd,Sacramento,CA,95838,(290) 804-7912,Standard,US,Open,Yes,Yes,Yes
T-1006,Target Irvine #6,725 Spectrum Center Dr,Irvine,CA,92645,(233) 230-2535,Standard,US,Open,Yes,Yes,Yes
T-1007,Target Fresno #7,850 Shaw Ave,Fresno,CA,93752,(424) 438-9279,Standard,US,Open,Yes,Yes,Yes
T-1008,Target Bakersfield #8,975 Ming Ave,Bakersfield,CA,93359,(817) 227-4257,Standard,US,Open,Yes,Yes,Yes
T-1009,Target Riverside #9,1100 Tyler St,Riverside,CA,92566,(934) 865-9928,SuperTarget,US,Open,Yes,Yes,Yes
T-1010,Target Oakland #10,1225 Broadway,Oakland,CA,94673,(630) 425-8359,Small-format,US,Open,Yes,Yes,Yes
T-1011,Target Los Angeles #11,1350 S Figueroa St,Los Angeles,CA,90080,(804) 484-1106,Standard,US,Open,Yes,Yes,Yes
T-1012,Target San Francisco #12,1475 Mission St,San Francisco,CA,94187,(978) 363-7924,Standard,US,Open,Yes,Yes,Yes
T-1013,Target San Jose #13,1600 Almaden Expy,San Jose,CA,95194,(549) 484-3547,Standard,US,Open,Yes,Yes,Yes
T-1014,Target San Diego #14,1725 Camino Del Rio N,San Diego,CA,92111,(421) 981-6514,Standard,US,Open,Yes,Yes,Yes
T-1015,Target Sacramento #15,1850 Florin Rd,Sacramento,CA,95818,(305) 294-7224,Standard,US,Open,Yes,Yes,Yes
T-1016,Target Irvine #16,1975 Spectrum Center Dr,Irvine,CA,92625,(300) 567-6635,Standard,US,Open,Yes,Yes,Yes
T-1017,Target Fresno #17,2100 Shaw Ave,Fresno,CA,93732,(819) 470-1711,SuperTarget,US,Open,Yes,Yes,Yes
T-1018,Target Bakersfield #18,2225 Ming Ave,Bakersfield,CA,93339,(948) 670-9785,Standard,US,Open,Yes,Yes,Yes
T-1019,Target Riverside #19,2350 Tyler St,Riverside,CA,92546,(328) 587-2291,Standard,US,Open,Yes,Yes,Yes
T-1020,Target Oakland #20,2475 Broadway,Oakland,CA,94653,(766) 500-6925,Small-format,US,Open,Yes,Yes,Yes
T-1021,Target Los Angeles #21,2600 S Figueroa St,Los Angeles,CA,90060,(792) 396-2139,Standard,US,Open,Yes,Yes,Yes
T-1022,Target San Francisco #22,2725 Mission St,San Francisco,CA,94167,(247) 877-4733,Standard,US,Open,Yes,Yes,Yes
T-1023,Target San Jose #23,2850 Almaden Expy,San Jose,CA,95174,(497) 281-4814,Standard,US,Open,Yes,Yes,Yes
T-1024,Target San Diego #24,2975 Camino Del Rio N,San Diego,CA,92181,(304) 589-5554,Standard,US,Open,Yes,Yes,Yes
T-1025,Target Sacramento #25,3100 Florin Rd,Sacramento,CA,95888,(665) 850-6977,SuperTarget,US,Open,Yes,Yes,Yes
T-1026,Target Irvine #26,3225 Spectrum Center Dr,Irvine,CA,92695,(367) 579-6820,Standard,US,Open,Yes,Yes,Yes
T-1027,Target Fresno #27,3350 Shaw Ave,Fresno,CA,93712,(415) 886-5374,Standard,US,Open,Yes,Yes,Yes
T-1028,Target Bakersfield #28,3475 Ming Ave,Bakersfield,CA,93319,(919) 899-2169,Standard,US,Open,Yes,Yes,Yes
T-1029,Target Riverside #29,3600 Tyler St,Riverside,CA,92526,(824) 850-3803,Standard,US,Open,Yes,Yes,Yes
T-1030,Target Oakland #30,3725 Broadway,Oakland,CA,94633,(747) 946-5010,Small-format,US,Open,Yes,Yes,Yes
T-1031,Target Los Angeles #31,3850 S Figueroa St,Los Angeles,CA,90040,(368) 673-7216,Standard,US,Open,Yes,Yes,Yes
T-1032,Target San Francisco #32,3975 Mission St,San Francisco,CA,94147,(477) 855-4598,Standard,US,Open,Yes,Yes,Yes
